"idwife","couple_id","idhusband","sex","age_wife","age_h","MI_geo_proximity","MI_economic_capital","MI_human_capital","NW_total","non_rels","parents_kids","pat_rels","mat_rels","in_laws","far_rels","geo_distance_non_rels","geo_distance_rels","rels_in_NW","rels_in_NW_h","percent_rels_in_NW","percent_rels_in_NW_h","rels_econ_help","rels_econ_help_h","non_rels_econ_help","non_rels_econ_help_h","percent_rels_econ_help","percent_rels_econ_help_h","emot_support_rels","emot_support_rels_h","emot_support_non_rels","emot_support_non_rels_h","percent_rels_emot_support","percent_rels_emot_support_h","childcare_help_rels","childcare_help_non_rels","childcare_help_rels_percent","overall_help_rels","overall_help_rels_h","overall_help_non_rels","overall_help_non_rels_h","percent_overall_help_rels","percent_overall_help_rels_h","religion","religious_knowledge_scale","hh_total","kids_in_hh","familyBariReligiousBefore","familyBariReligiousAfter","religious_change","R_NUM_SIBS","SIBS_DUMMY"
"0D554B9D-B2DF-854F-B137-FADDAEC745CF",582,"D3909AF4-9985-504D-9C43-3C07E568ABB2",0,63,71,-0.368053139461137,0.27755948705919,0.307497394543184,12,0,6,0,0,4,0,NA,1.4,12,12,0.833333333333333,1,0.001,8,0.001,0,0.5,1,5.001,9,0.001,0,0.999800079968013,1,4.001,0.001,0.999750124937531,10.004,25,0.004,1,0.999600319744205,0.961538461538462,0,1.87303664921466,7.3651832460733,2.09031413612565,0,1,1,4,1
"0D7AB5CE-5901-964C-8D88-795B4B2B0912",19,"12F41644-DE40-DD45-8AFC-0747AFD142A0",0,50,54,0.0430471318697074,1.008792122746,-0.291232063116385,10,1,3,0,0,6,0,2,2,9,10,1,1,2.001,5,0.001,3,0.9995004995005,0.625,6.001,4,0.001,1,0.999833388870377,0.8,6.001,0.001,0.999833388870377,15.004,18,0.004,7,0.999733475479744,0.72,0,-0.12696335078534,0.365183246073299,1.09031413612565,0,0,0,3,1
"0DB81420-7024-084E-8DA0-7D1437E1A811",193,"626B23EC-B344-CE42-9800-D5B12C731F11",0,58,57,0.0262654619437586,0.660967004025641,-1.01450543415896,16,0,3,0,0,9,0,NA,1.91666666666667,16,15,0.75,1,6.001,11,0.001,2,0.999833388870377,0.846153846153846,3.001,1,0.001,0,0.99966688874084,1,4.001,0.001,0.999750124937531,17.004,25,0.004,3,0.999764816556914,0.892857142857143,0,-0.62696335078534,3.3651832460733,3.09031413612565,1,-1,-2,4,1
"60ED1C6C-4BC0-F847-825F-16F982EB950D",188,"0DCDB704-7B37-274C-B30B-EB36858E2E25",1,60,60,-0.212468604746676,-0.451916441062914,-0.678543003007433,12,0,2,0,0,7,0,NA,1.77777777777778,12,7,0.75,1,3.001,7,0.001,2,0.99966688874084,0.777777777777778,5.001,11,0.001,0,0.999800079968013,1,2.001,0.001,0.9995004995005,11.004,27,0.004,4,0.999636627906977,0.870967741935484,0,-1.12696335078534,-1.6348167539267,-0.909685863874345,0,0,0,7,1
"0E00593C-28D3-3843-BF1D-6FEE2D742AFA",470,"B9194D4B-FC30-D54B-8382-82AB1E09B598",0,34,45,-0.376358542132062,-0.450282062649973,1.66163177911047,11,0,2,0,0,5,2,NA,1.77777777777778,11,7,0.818181818181818,1,2.001,3,0.001,0,0.9995004995005,1,4.001,8,0.001,0,0.999750124937531,1,2.001,0.001,0.9995004995005,11.004,14,0.004,0,0.999636627906977,1,0,-0.62696335078534,0.365183246073299,-0.909685863874345,0,0,0,7,1
"0E2849BB-373F-704C-AE53-72C2ACD925D0",25,"167795A0-6C5E-F24D-9CC0-F25E99EF1473",0,57,61,0.111654792351366,-0.425737375622662,-0.615498123651148,10,1,4,0,0,4,0,2,2.125,9,5,0.888888888888889,1,0.001,1,0.001,0,0.5,1,10.001,5,0.001,0,0.999900019996001,1,2.001,0.001,0.9995004995005,17.004,12,0.004,0,0.999764816556914,1,0,-0.62696335078534,1.3651832460733,2.09031413612565,1,1,0,4,1
"0E300876-4672-8C41-8707-85A661E29E63",453,"B5B06107-4827-1442-968B-AE9C102C707D",0,53,62,-0.00385372235694455,-0.0438665033687601,-1.12552653557617,15,2,6,0,2,5,0,3,2.61538461538462,13,5,1,1,9.001,4,0.001,5,0.999888913574761,0.444444444444444,8.001,6,0.001,3,0.99987503124219,0.666666666666667,4.001,0.001,0.999750124937531,22.004,14,0.004,13,0.999818247909851,0.518518518518518,0,0.87303664921466,2.3651832460733,1.09031413612565,1,1,0,5,1
"0E3761BC-9733-9E49-84DC-09D31528F47C",339,"93A0127D-616F-D041-B42B-EA89E1445A7D",0,49,55,0.291820391712149,0.0167472221394855,-0.170556381231467,12,0,3,0,0,7,1,NA,1.72727272727273,12,4,0.916666666666667,1,3.001,1,0.001,2,0.99966688874084,0.333333333333333,5.001,2,0.001,1,0.999800079968013,0.666666666666667,4.001,0.001,0.999750124937531,15.004,9,0.004,5,0.999733475479744,0.642857142857143,0,-2.12696335078534,1.3651832460733,3.09031413612565,0,0,0,5,1
"0E726AFA-C218-F548-864F-86C40E9B4639",601,"DA3A80B3-B353-D144-81A2-5F480B019E3D",0,34,43,-0.541771691722396,-0.666147612119304,0.767153866278102,7,1,2,0,0,3,0,3,2.2,6,10,0.833333333333333,1,5.001,5,0.001,0,0.999800079968013,1,5.001,6,0.001,1,0.999800079968013,0.857142857142857,4.001,0.001,0.999750124937531,17.004,23,0.004,1,0.999764816556914,0.958333333333333,0,-0.12696335078534,1.3651832460733,0.0903141361256545,1,0,-1,4,1
"0E92ECE0-A7B9-6846-9720-3429EEEEE532",15,NA,0,70,NA,-0.134922958145276,0.843923448637333,-1.10079476841858,16,2,7,0,0,4,0,2,2.90909090909091,14,NA,0.785714285714286,NA,6.001,NA,0.001,NA,0.999833388870377,NA,6.001,NA,0.001,NA,0.999833388870377,NA,5.001,0.001,0.999800079968013,20.004,NA,0.004,NA,0.999800079968013,NA,0,-2.12696335078534,9.3651832460733,2.09031413612565,1,0,-1,0,0
"BBF73150-E714-9448-A5EE-B0C226E7E0A9",485,"0EF2C69D-E65D-E34C-BB40-9D8FFDAA00FD",1,57,57,0.318821733251901,0.111902604893362,-0.393735210275789,7,0,2,2,0,0,3,NA,3.14285714285714,7,10,1,1,7.001,4,0.001,0,0.999857183661811,1,4.001,4,0.001,0,0.999750124937531,1,2.001,0.001,0.9995004995005,16.004,16,0.004,2,0.999750124937531,0.888888888888889,0,1.37303664921466,2.3651832460733,2.09031413612565,0,1,1,7,1
"79358D09-8C80-7C40-B1C5-AB364F6C1D6A",267,"0EFD7288-300A-B743-A021-27B129FA7F97",1,42,42,-0.375658388896471,-1.05061440379635,0.183087447515127,6,1,2,0,0,2,0,2,1.5,5,6,0.8,1,4.001,2,0.001,2,0.999750124937531,0.5,3.001,8,0.001,3,0.99966688874084,0.727272727272727,1.001,0.001,0.999001996007984,9.004,10,0.004,6,0.99955595026643,0.625,0,-0.62696335078534,-2.6348167539267,-0.909685863874345,1,0,-1,6,1
"0F4219CA-3684-D844-8EF6-10B9603B6955",16,NA,0,35,NA,9.62002402283533,0.306497361884504,1.78923417807636,6,0,3,0,0,1,1,NA,2.4,6,NA,0.833333333333333,NA,4.001,NA,0.001,NA,0.999750124937531,NA,1.001,NA,0.001,NA,0.999001996007984,NA,1.001,0.001,0.999001996007984,7.004,NA,0.004,NA,0.999429223744292,NA,0,-0.62696335078534,-2.6348167539267,-1.90968586387435,0,0,0,7,1
"1038A9EF-81CE-7848-BF09-47630858C071",228,"7030343A-2704-444E-AE79-F7C4685440A9",0,50,64,0.367231246798758,-0.00130193866099756,-0.171822242473883,10,1,5,0,0,2,0,4,1.71428571428571,9,11,0.777777777777778,1,2.001,4,0.001,1,0.9995004995005,0.8,9.001,0,0.001,6,0.999888913574761,0,4.001,0.001,0.999750124937531,19.004,15,0.004,7,0.999789562289562,0.681818181818182,1,1.37303664921466,0.365183246073299,0.0903141361256545,0,0,0,4,1
"103B32D5-58EA-264B-AA97-207D1911AE21",393,"A4562202-B1AA-A747-AF8F-5EF2A3D83957",0,52,54,-0.0158314143704149,-0.108548970680137,-0.332069029958381,14,1,4,0,0,5,3,3,2.33333333333333,13,9,0.923076923076923,1,3.001,2,1.001,0,0.749875062468766,1,4.001,3,0.001,5,0.999750124937531,0.375,5.001,0.001,0.999800079968013,15.004,15,1.004,5,0.93728135932034,0.75,0,0.87303664921466,-1.6348167539267,0.0903141361256545,1,1,0,6,1
